Country	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
SerbiaandMontenegro	3331	5202	5891	3586	3255	3166	2196	1398	801	653
Seychelles	25	16	15	7	16	10	8	15	7	6
SierraLeone	1596	2731	3572	1999	2795	2687	2011	1985	1688	1651
Singapore	966	1204	997	985	922	832	774	690	712	835
Slovakia	800	965	1111	763	653	706	538	594	528	507
Slovenia	88	114	115	87	79	108	74	69	86	62
SolomonIslands	6	3	5	10	7	0	6	0	0	3
Somalia	3929	5829	9462	6251	10745	13390	4558	4451	5204	3764
SouthAfrica	3370	4536	3201	2988	2723	3171	2758	2649	2781	2629
SouthSudan	0	0	0	0	0	0	0	0	17	59
SovietUnion(former)	929	2899	6229	5090	5270	5911	4978	3687	1296	1264
Spain	1339	1888	1971	1578	1621	1769	1684	1890	1842	2480
SriLanka	1431	1894	2191	1831	1935	2009	2036	2053	1994	1847
Sudan	3211	5231	5504	2930	3598	3577	2397	2628	2471	1945
Suriname	166	300	314	197	218	227	216	196	187	178
Swaziland	15	16	11	13	18	42	22	19	24	15
Sweden	1270	1517	1376	1145	1019	1138	1097	979	968	1106
Switzerland	855	1092	983	705	720	798	675	615	635	697
Syria	2256	2831	2918	2385	2641	2442	2555	2785	3014	3366
Taiwan	9005	9196	8086	8990	9073	8038	6732	6154	5331	5385
Tajikistan	167	207	239	172	231	265	299	382	411	550
Tanzania	747	829	949	832	838	2773	1850	1427	1516	837
Thailand	4318	5505	11749	8751	6637	10444	9384	9962	9459	7583
Togo	2041	1523	1720	1565	1661	1680	1563	1506	1756	1257
Tonga	327	309	437	438	365	379	343	408	276	348
TrinidadAndTobago	5384	6568	8854	6829	5937	6256	5435	5023	5214	4724
Tunisia	457	495	510	417	410	416	418	440	422	445
Turkey	3835	4614	4941	4425	4210	4958	4483	4403	4162	4144
Turkmenistan	117	148	248	217	274	290	224	260	223	210
TurksAndCaicosIslands	28	34	52	31	35	31	29	33	30	50
U.S.VirginIslands	13	8	7	3	0	3	0	0	0	0
Uganda	721	858	1372	1122	1174	1364	1085	1239	1340	1350
Ukraine	14156	22745	17140	11001	10813	11223	8477	8292	7642	8193
UnitedArabEmirates	586	812	1006	758	693	697	779	707	854	910
UnitedKingdom	14915	19800	17207	14545	14348	15748	12792	11572	12014	12984
UnitedStates	57	183	333	171	216	181	201	269	279	319
Uruguay	787	1154	1664	1418	1451	1775	1331	1553	1374	1352
Uzbekistan	1995	2887	4015	4665	6375	5467	4770	5056	4726	4382
Venezuela	6220	10645	11341	10692	10514	11154	9409	9183	9387	9572
Vietnam	31524	32784	30691	28691	31497	29234	30632	34157	28304	27101
Yemen	1760	3366	4308	2396	1872	3134	3591	3361	2620	3532
Zambia	359	499	672	576	613	704	628	652	643	505
Zimbabwe	628	923	1049	1057	953	983	1274	1016	914	924
AllOtherCountries	31	48	34	29	24	39	29	28	26	30
Unknown	3227	5303	2734	1394	1394	1366	1330	1245	1206	3263
